id,name,branch,website,email,description
"sda","Submarine Delivery Agency (SDA)","b_nuke","GOV.UK","","Procures, builds and supports the submarine flotilla — Dreadnought and Astute/SSN."
"awe","AWE Nuclear Security Technologies (AWE)","b_nuke","awe.co.uk","","Designs, makes and maintains the UK's nuclear warheads; deep science in materials, HPC and physics. An arm's-length body owned by the MOD."
"rrsub","Rolls-Royce Submarines","b_nuke","","","Designs and makes the naval nuclear reactors that power the submarine fleet."
"barrow","Plan for Barrow","b_nuke","","","Long-term place-based investment around the Barrow submarine industrial base."
"cranfield","Cranfield University","c_edu","cranfield.ac.uk","","Postgraduate defence education, systems engineering and ordnance — embedded at the Defence Academy."
"kcl","King's College London","c_edu","kcl.ac.uk","","War studies, strategy and security policy; runs KIASS and the Freeman Air & Space Institute."
"defacad","Defence Academy of the UK","c_edu","da.mod.uk","","MOD's professional military education establishment (JSCSC, RCDS)."
"rand","RAND Europe","c_edu","randeurope.org","","Independent policy research and analysis; academic partner to the Defence Academy."
"imperial","Imperial College London","c_uni","","","Security S&T, materials, sensing and networks."
"cambridge","University of Cambridge","c_uni","","","Quantum, materials, photonics and AI; strong spin-out pipeline."
"oxford","University of Oxford","c_uni","","","Robotics & autonomy, AI, quantum and cyber."
"ucl","UCL","c_uni","","","Sensing, security, space and defence-adjacent engineering."
"soton","University of Southampton","c_uni","","","Maritime autonomy, acoustics, photonics and cyber."
"sheffield","University of Sheffield (AMRC)","c_uni","","","Advanced manufacturing and machining for aerospace and defence."
"bristol","University of Bristol","c_uni","","","Composites (with the NCC), quantum and aerospace."
"surrey","University of Surrey","c_uni","","","Small satellites, space systems and 5G/6G comms."
"lancaster","Lancaster University","c_uni","","","Cyber security research and the cleared-talent pipeline."
"strath","University of Strathclyde","c_uni","","","Advanced forming and manufacturing; National Manufacturing Institute Scotland."
"warwick","University of Warwick (WMG)","c_uni","","","Digital manufacturing, materials and systems engineering."
"udrc","UDRC universities","c_uni","","","Signal processing, sensing and machine learning — Edinburgh, Heriot-Watt, Strathclyde, Queen's Belfast."
"turing","The Alan Turing Institute","c_inst","turing.ac.uk","","National institute for data science & AI; defence and security research partnerships."
"npl","National Physical Laboratory (NPL)","c_inst","npl.co.uk","","National measurement standards; quantum, timing and materials with dual-use relevance."
"digicat","Digital Catapult","b_cat","digicatapult.org.uk","","Applies AI, distributed systems and digital twins to defence; connects innovators to MOD & primes."
"satcat","Satellite Applications Catapult","b_cat","sa.catapult.org.uk","","Accelerates space & satellite applications, including dual-use defence and security."
"mtc","Manufacturing Technology Centre (MTC)","c_hvmc","","","Manufacturing systems, automation and digital factory for defence programmes."
"ncc","National Composites Centre (NCC)","c_hvmc","","","Composite materials and structures for air, land and sea platforms."
"amrc","AMRC","c_hvmc","","","Advanced machining and manufacturing research for aerospace and defence."
"nuamrc","Nuclear AMRC","c_hvmc","","","Manufacturing for the nuclear and naval propulsion supply chain."
"cpi","CPI","c_hvmc","","","Process innovation, formulation and advanced materials."
"csac","Compound Semiconductor Applications Catapult","b_cat","csa.catapult.org.uk","","Semiconductor tech for RF, sensing and secure electronics — a sovereign-capability concern."
"cpc","Connected Places Catapult","b_cat","cp.catapult.org.uk","","Places, mobility and connected-systems innovation with dual-use overlap."
"qinetiq","QinetiQ","b_cat","","","Test & evaluation, ranges and research services; both supplier and RTO."
"roke","Roke","b_cat","","","Applied research and engineering in sensors, signals and cyber."
"fnc","Frazer-Nash Consultancy","b_cat","","","Systems engineering, safety and technical advice across defence programmes."
"bmt","BMT","b_cat","","","Maritime and defence engineering, design and through-life support."
"rusi","RUSI","b_cat","rusi.org","","Independent defence & security think tank; analysis, convening and policy."
"atec","ATEC / MOD Boscombe Down","b_te","","","Aircraft Test & Evaluation Centre — the UK's core air T&E site."
"hebrides","Hebrides & Aberporth Ranges","b_te","","","Weapons and uncrewed-systems trials ranges and segregated airspace."
"eskmeals","Eskmeals & Pendine Ranges","b_te","","","Gun, ordnance and materials proof and impact ranges (Cumbria & Wales)."
"lulworth","Lulworth & Bovington Ranges","b_te","","","Live-fire and armoured-vehicle trials areas in Dorset."
"westfreugh","West Freugh Range","b_te","","","Air-weapons and instrumented trials range in south-west Scotland."
"porton","Porton Down / Portsdown West","b_te","","","Dstl's principal science and experimentation sites (incl. chem-bio defence)."
"shoebury","MOD Shoeburyness","b_te","","","Explosives, munitions and weapons-effects trials range."
"spta","Salisbury Plain Training Area","b_te","","","The Army's largest training estate; large-scale land experimentation and exercises."
"horibamira","Horiba MIRA Proving Ground","b_te","horiba-mira.com","","Vehicle, autonomy and resilience test facility (incl. defence trials)."
"smartsound","Smart Sound Plymouth","b_te","smartsoundplymouth.co.uk","","Marine autonomy and sensor proving area run with Plymouth's marine cluster."
"robotarium","National Robotarium","b_te","thenationalrobotarium.com","","Edinburgh centre for robotics and autonomous-systems research and test."
"dorsetpark","Dorset Innovation Park","b_te","dorsetinnovationpark.com","","Secure enterprise-zone campus hosting the Defence BattleLab and defence firms."
"bae_air","BAE Systems Air","b_primes","baesystems.com","","Combat air — Typhoon, F-35 work-share, and the GCAP/Tempest next-generation programme."
"bae_ships","BAE Systems Naval Ships","b_primes","baesystems.com","","Designs and builds Royal Navy surface warships (Type 26 frigate)."
"bae_subs","BAE Systems Submarines","b_primes","baesystems.com","","Designs and builds the UK's nuclear submarines (Astute, Dreadnought)."
"bae_maritimeservices","BAE Systems Maritime Services","b_primes","baesystems.com","","In-service support and upkeep for the surface fleet."
"bae_land","BAE Systems Land","b_primes","baesystems.com","","Munitions, artillery and combat vehicles; partner in RBSL for Boxer and Challenger 3."
"bae_es","BAE Systems Electronic Systems","b_primes","baesystems.com","","Electronic warfare, sensors, avionics, and controls & power."
"bae_di","BAE Systems Digital Intelligence","b_primes","baesystems.com","","Cyber, C4ISR, intelligence and digital services."
"rr_defenceaero","Rolls-Royce Defence — Aerospace","root","rolls-royce.com","","Aero-engines for combat air, transport and trainer aircraft."
"rr_subsystems","Rolls-Royce Submarines (reactors)","root","rolls-royce.com","","Designs and makes the naval nuclear reactor plants powering the submarine fleet."
"rr_powersystems","Rolls-Royce Power Systems","root","rolls-royce.com","","Engines, generators and microgrids for land and naval platforms."
"bab_marine","Babcock Marine","","babcockinternational.com","","Warship and submarine support, refit and the dockyards."
"bab_nuclear","Babcock Nuclear","","babcockinternational.com","","Submarine support, decommissioning and nuclear services."
"bab_land","Babcock Land","","babcockinternational.com","","Military vehicle fleet management and engineering support."
"bab_aviation","Babcock Aviation","","babcockinternational.com","","Military aircraft support and flying training."
"leo_helicopters","Leonardo Helicopters","","leonardo.com","","Military rotary-wing (AW101, AW159) design, build and support."
"leo_electronics","Leonardo Electronics","","leonardo.com","","Radar, electronic warfare, sensors and laser systems."
"leo_cyber","Leonardo Cyber & Security","","leonardo.com","","Secure communications, cyber and mission systems."
"mbda","MBDA (UK)","","","","Complex weapons and missiles (UK/European JV, part-owned by BAE)."
"thales","Thales UK","","","","Sensors, sonar, communications, optronics, cyber and UAS."
"edgewing","Edgewing (GCAP JV)","","","","Design-authority JV (BAE, Leonardo, JAIEC) for the next-generation combat aircraft."
"airbusds","Airbus Defence & Space UK","","","","Military space, secure satcom (Skynet) and platforms."
"lmuk","Lockheed Martin UK","","","","Combat systems, training, and platform integration."
"boeinguk","Boeing Defence UK","","","","Rotary, maritime patrol and support."
"raytheonuk","Raytheon UK","","","","Effects, C4ISR, sensors and cyber."
"gduk","General Dynamics UK","","","","Land combat systems, C4ISR and mission systems."
"chemring","Chemring","","","","Countermeasures, energetics and sensors."
"cohort","Cohort / Ultra","","","","Specialist electronics, sonar and C2 across group companies."
"rbsl","RBSL (Rheinmetall BAE Systems Land)","c_land","","","Builds Boxer and Challenger 3; armoured vehicle design and manufacture."
"supacat","Supacat","c_land","","","High-mobility and special-purpose vehicles."
"pearson","Pearson Engineering","c_land","","","Combat engineering equipment and vehicle attachments."
"npaero","NP Aerospace","c_land","","","Armour, protection and vehicle integration."
"marshall","Marshall","c_land","","","Land systems, shelters and aerospace support."
"sea","SEA","c_mar","","","Combat systems, torpedo defence and maritime software."
"survitec","Survitec","c_mar","","","Survival, escape and safety systems."
"sonardyne","Sonardyne","c_mar","","","Subsea positioning, sonar and communications."
"jfd","JFD","c_mar","","","Submarine rescue and diving systems."
"atlas","Atlas Elektronik UK","c_mar","","","Sonar, mine countermeasures and maritime autonomy."
"cobham","Cobham","c_c4","","","Antennas, comms and mission systems."
"systematic","Systematic UK","c_c4","","","Battle-management (SitaWare) and C2 software."
"ultra","Ultra","c_c4","","","Sonar, C2 and specialist electronics."
"cambridgeconsult","Cambridge Consultants","c_c4","cambridgeconsultants.com","","Deep-tech product development and R&D across sensing, comms and autonomy."
"gknaero","GKN Aerospace","c_aero","gknaerospace.com","","Airframe structures, engine systems and additive manufacturing."
"martinbaker","Martin-Baker","c_aero","martin-baker.com","","Ejection seats and crew-escape systems (global leader)."
"meggitt","Meggitt (Parker Aerospace)","c_aero","meggitt.com","","Sensing, braking, fire protection and thermal systems for platforms; part of Parker Aerospace."
"evolito2","Advanced electric propulsion","c_aero","","","Emerging electric-propulsion suppliers (e.g. Evolito, YASA-derived) for future platforms."
"chemring2","Chemring Group","c_energetics","chemring.com","","Countermeasures, energetic materials and sensors (also a prime-scale supplier)."
"bae_land2","RBSL / BAE munitions","c_energetics","","","UK munitions and artillery manufacture and the ammunition supply base."
"serco","Serco","c_svc","","","Support services, training and logistics."
"kbr","KBR","c_svc","","","Programme delivery, engineering and technical services."
"jacobs","Jacobs","c_svc","","","Systems engineering and infrastructure."
"leidosuk","Leidos UK","c_svc","","","Logistics (LCST) and IT-enabled services."
"atkins","AtkinsRéalis","c_svc","atkinsrealis.com","","Engineering, programme management and nuclear/defence advisory."
"ricardo","Ricardo Defense","c_svc","ricardo.com","","Vehicle engineering, propulsion and fleet support."
"expleo","Expleo","c_svc","expleo.com","","Engineering, quality and digital services for defence programmes."
"cgi","CGI UK","c_svc","cgi.com","","Secure IT, systems integration and digital services for defence."
"helsing","Helsing","c_ai","","","European defence-AI champion; strike-drone software and AI mass; investing in UK manufacturing."
"anduril","Anduril UK","c_ai","","","Autonomy-first systems and the Lattice software backbone; UK presence."
"palantir","Palantir UK","c_ai","","","Data-integration and decision software (Foundry/Gotham); DIJC member; mentoring UK defence startups."
"hadean","Hadean","c_ai","","","Distributed computing and large-scale synthetic environments; hosted the first DIJC."
"adarga","Adarga","c_ai","adarga.ai","","AI for intelligence analysis and knowledge discovery."
"faculty","Faculty","c_ai","faculty.ai","","Applied AI and decision-support across government and defence."
"arondite","Arondite","c_ai","arondite.com","","London (2023) — software connecting sensors, autonomous platforms and robotics into one operator picture."
"mindfoundry","Mind Foundry","c_ai","mindfoundry.ai","","Oxford AI spin-out; high-stakes AI for defence and the public sector."
"montvieux","Montvieux","c_ai","montvieux.com","","Deep-learning and data science for defence decision advantage."
"ripjar","Ripjar","c_ai","ripjar.com","","AI-driven intelligence and open-source data analytics."
"improbable","Improbable Defence","c_ai","improbable.io","","Synthetic environments and multi-domain simulation for training and experimentation."
"tekever","Tekever","c_uas","tekever.com","","UAS and ISR; supplies uncrewed systems to the UK forces; UK manufacturing in Swindon."
"stark","Stark","c_uas","stark.com","","Weaponised drones, loitering munitions and the Minerva mission-control suite; investing in UK manufacturing."
"quantumsys","Quantum Systems","c_uas","quantum-systems.com","","Reconnaissance UAS with battlefield-proven designs; UK operations."
"malloy","Malloy Aeronautics","c_uas","malloyaeronautics.com","","Heavy-lift logistics and multi-role drones (now part of BAE Systems)."
"overwatch","Overwatch Group","c_uas","overwatch.co.uk","","UAS, loitering munitions and tactical drones for reconnaissance and precision strike."
"callenlenz","Callen-Lenz","c_uas","callenlenz.com","","Uncrewed air systems, autonomy and flight-control technology."
"windracers","Windracers","c_uas","windracers.com","","Autonomous heavy-lift fixed-wing UAV for logistics and resupply."
"animaldynamics","Animal Dynamics","c_uas","animal-dynamics.com","","Bio-inspired autonomous air and sea systems."
"flarebright","Flare Bright","c_uas","flarebright.com","","AI-enabled autonomous drones and sensor systems."
"marss","MARSS","c_c4isr","marss.com","","Counter-drone and integrated force-protection systems (AI sensor fusion)."
"chessdyn","Chess Dynamics","c_c4isr","chess-dynamics.com","","Electro-optical tracking, surveillance and counter-UAS (part of HENSOLDT)."
"blighter","Blighter Surveillance","c_c4isr","blighter.com","","Electronic-scanning radar for border and air-defence surveillance."
"cambridgepixel","Cambridge Pixel","c_c4isr","cambridgepixel.com","","Radar display, tracking and sensor-processing software."
"plextek","Plextek","c_c4isr","plextek.com","","RF, radar and electronics design and innovation consultancy."
"iceni","Iceni Labs","c_c4isr","iceni.tech","","RF sensing and counter-UAS detection technology."
"opencosmos","Open Cosmos","c_space","open-cosmos.com","","Harwell-based small-satellite manufacturer and mission provider; builds Dstl's Orpheus SDA satellites."
"astroscale","Astroscale UK","c_space","astroscale.com","","In-orbit servicing, debris removal and space-domain-awareness missions (Orpheus lead)."
"iceye","ICEYE","c_space","iceye.com","","Radar-satellite ISR and persistent space-based sensing."
"spaceforge","Space Forge","c_space","spaceforge.com","","In-space manufacturing of advanced materials and semiconductors."
"oxfordspace","Oxford Space Systems","c_space","oxford.space","","Deployable antennas and structures for satellites."
"inspace","In-Space Missions","c_space","inspacemissions.com","","Full-lifecycle satellite missions and payloads (part of BAE Systems)."
"satellitevu","Satellite Vu","c_space","satellitevu.com","","Thermal-infrared Earth observation from space."
"riverlane","Riverlane","c_quantum","riverlane.com","","Quantum error-correction — the control layer for fault-tolerant quantum computing."
"arqit","Arqit","c_quantum","arqit.uk","","Symmetric-key, quantum-safe encryption delivered as a service to defence and government."
"aquark","Aquark Technologies","c_quantum","aquarktechnologies.com","","Cold-atom quantum sensors; trialled on Royal Navy vessels (Airbus/BAE/Leonardo/MBDA/NIF-backed)."
"darktrace","Darktrace","c_quantum","darktrace.com","","Cambridge cyber-AI; autonomous threat detection and response."
"nuquantum","Nu Quantum","c_quantum","nuquantum.com","","Quantum networking and photonic interconnects."
"csit","CSIT / Queen's Belfast","c_quantum","qub.ac.uk","","UK innovation centre for secure information technologies and cyber research."
"physicsx","PhysicsX","c_deep","physicsx.ai","","Engineering AI for simulation, design and advanced manufacturing."
"camaero","Cambridge Aerospace","c_deep","","","Missile-interception and advanced aerospace systems."
"magdrive","Magdrive","c_deep","magdrive.space","","High-thrust electric propulsion for spacecraft."
"evolito","Evolito","c_deep","evolito.com","","Axial-flux electric motors for aerospace and defence platforms."
"rovco","Rovco / Beam","c_deep","rovco.com","","Subsea robotics and AI-enabled autonomous underwater inspection."
"ofsbg","Defence Office for Small Business Growth","c_sme","gov.uk","","The single front door for SMEs; supports the pledge to spend more with small firms."
"dtep","Defence Technology Exploitation Programme (DTEP)","c_sme","","","Grant scheme helping SME supply-chain collaborations mature technology."
"makeuk","Make UK Defence","c_sme","makeukdefence.org","","Represents defence manufacturers and SMEs; strong SME onboarding voice."
"teamdefence","Team Defence Information","c_sme","teamdefence.info","","Industry–MOD community improving digital, data and information exchange across the enterprise."
"nssif","NSSIF","f_public","british-business-bank.co.uk","","The government's dual-use corporate venture arm (a Treasury–British Business Bank initiative); invests alongside other investors in national-security technologies."
"bpc","British Patient Capital / British Business Bank","f_public","british-business-bank.co.uk","","Government-backed patient capital that anchors deep-tech and dual-use funds as a limited partner."
"nwf","National Wealth Fund","f_public","nationalwealthfund.org.uk","","The UK's public investment institution (formerly UK Infrastructure Bank); backs strategic and dual-use industrial capacity."
"ukef","UK Export Finance (UKEF)","f_public","gov.uk","","The UK export credit agency; finances and insures defence and dual-use exports."
"dip","MOD Modernisation Fund / Defence Investment Plan","f_public","","","The DIP sets the MOD's multi-year investment; includes ring-fenced innovation funding for UKDI and a Modernisation Fund. Plus a commitment to spend more with SMEs."
"growth","Defence Growth Deals","f_public","","","Place-based investment across Plymouth, South Yorkshire, Scotland, Wales and Northern Ireland."
"innovateuk","Innovate UK","f_public","iuk.ukri.org","","Co-funds commercialisation and the catapults; the innovation agency within UKRI."
"natofund","NATO Innovation Fund (NIF)","f_multi","nif.fund","","The world's first multi-sovereign VC (24 allies, ~€1bn); invests directly in deep-tech founders and as an LP in European funds. Sits on the DIJC."
"edf_inv","EU Defence Equity Facility (InvestEU)","f_multi","eif.org","","The European Investment Fund's facility backing venture funds that invest in defence, dual-use, security and space."
"mdone","MD One Ventures","f_vc","md-one.com","","Europe's first dedicated defence & national-security VC (founded 2021); applied deep tech for the UK, Europe and allies."
"marque","Marque Ventures","f_vc","marqueventures.com","","UK-based early-stage VC investing in defence, security and resilience dual-use technology."
"airstreet","Air Street Capital","f_vc","airstreet.com","","London AI-first VC increasingly active in defence and dual-use (e.g. Modern Intelligence)."
"offset","Offset Ventures","f_vc","","","Early-stage UK/European defence-tech specialist investor."
"expeditions","Expeditions Fund","f_vc","expeditions.fund","","Early-stage deep-tech/dual-use VC (cyber, AI, defence, autonomy, space); NATO Innovation Fund-backed."
"joincap","Join Capital","f_vc","join.capital","","Pan-European (Berlin/London/Milan) deep-tech and dual-use VC across enterprise, industrial, space and defence."
"primamateria","Prima Materia","f_vc","","","Daniel Ek's European deep-tech investment company; lead backer of Helsing."
"projecta","Project A Ventures","f_vc","project-a.com","","Early-stage B2B VC increasingly investing in dual-use (e.g. Quantum Systems)."
"sevenpct","7percent Ventures","f_vc","7pc.vc","","Early-stage VC in defence, dual-use aerospace and AI ‘moonshots’."
"lux","Lux Capital","f_vc","luxcapital.com","","US frontier-tech VC backing hard-science and defence technologies."
"alpinespace","Alpine Space Ventures","f_vc","alpinespace.vc","","Space-industrial VC led by senior SpaceX alumni; NIF- and EIF-backed, EDIN and NATO SPACENET member."
"otb","OTB Ventures","f_vc","otb.vc","","Central-European deep-tech VC (~$350m) — spacetech, enterprise AI and cyber; a leading CEE defence/dual-use backer."
"vsquared","Vsquared Ventures","f_vc","vsquared.vc","","Munich deep-tech VC backing defence, space and dual-use (NIF-backed); part of Europe's densest defence-tech hub."
"keen","Keen Venture Partners","f_vc","keenventurepartners.com","","European growth VC focused on defence, security and resilience technology."
"d3vc","D3 / Darkstar / Green Flag","f_vc","","","New wave of dedicated European defence funds (D3, Darkstar, Green Flag Ventures) driving a third of 2025 deal flow."
"v201","201 Ventures","f_vc","","","Solo-GP pre-seed/seed fund (Eric Slesinger) backing intelligence, defence and dual-use in Europe; find it via EDIN or Dealroom."
"decisivepoint","Decisive Point","f_vc","decisivepoint.com","","Transatlantic early-stage VC for government, public-safety and defence technology."
"edin","European Defense Investor Network (EDIN)","f_vc","europeandefense.org","","A network of 35+ investors organising and educating European defence/dual-use capital — and supporting founders at the earliest stage."
"generalist","Generalist entrants (Lakestar, Balderton, 8VC, General Catalyst)","f_vc","","","Mainstream European and US VCs now actively backing UK/European defence and dual-use firms."
"baelaunchpad","BAE Systems Launchpad / FalconWorks","f_cvc","baesystems.com","","BAE's incubator/accelerator commercialising in-house R&D and university spin-outs, targeting new venture creation."
"airbusventures","Airbus Ventures","f_cvc","airbusventures.vc","","Airbus's venture capital arm investing in frontier aerospace, space and dual-use tech."
"mbdaventures","MBDA venture & incubation","f_cvc","mbda-systems.com","","MBDA's start-up engagement and venture activity in complex-weapons-adjacent tech."
"lmventures","Lockheed Martin Ventures","f_cvc","lockheedmartin.com","","Lockheed Martin's ~$1bn corporate VC investing in startups aligned to its platforms."
"diana_accel","NATO DIANA accelerator","f_accel","diana.nato.int","","The Alliance deep-tech accelerator — non-dilutive grants, mentoring and test access (see NATO branch)."
"plexal","Plexal","f_accel","plexal.com","","Innovation company running government-backed cyber and national-security programmes (e.g. NCSC For Startups, LORCA) from London and Cheltenham."
"cylon","CyLon / Epsilon","f_accel","cylonlab.com","","Long-running cyber-security accelerator and early-stage investor."
"starburst","Starburst Aerospace","f_accel","starburst.aero","","Global aerospace & defence accelerator, investor and strategic advisory firm."
"adastral","BT Adastral Park / Innovation Martlesham","f_accel","atadastral.co.uk","","ICT and secure-comms innovation cluster co-locating startups, BT research and government."
"dbt","Department for Business & Trade (DBT)","b_gov","GOV.UK","","Industrial strategy, exports and the health of the defence industrial base."
"dsit","Dept. for Science, Innovation & Technology (DSIT)","b_gov","GOV.UK","","National S&T strategy and the dual-use tech ecosystem; sponsors NSSIF; oversees UKRI."
"ukri","UK Research & Innovation (UKRI)","b_gov","ukri.org","","Public research & innovation funder underpinning the science base."
"ode","Office of Defence Exports","b_gov","","","Promotes UK defence exports with a whole-of-government offer; works with UKEF."
"ho","Home Office","b_gov","GOV.UK","","Security & policing technology customer with dual-use overlap; a DASA customer."
"hmt","HM Treasury","b_gov","GOV.UK","","Sets budgets and spending-review settlements that size the whole system."
"cabinet","Cabinet Office / National Security Secretariat","b_gov","GOV.UK","","Coordinates national security strategy across departments."
"fcdo","FCDO","b_gov","GOV.UK","","Foreign policy, diplomacy and export relationships."
"ecju","Export Control Joint Unit (ECJU)","b_gov","","","Licenses strategic and military exports; the gate for selling abroad."
"isu","Investment Security Unit (ISU)","b_gov","","","Screens acquisitions under the National Security & Investment Act."
"nato_hq","NATO Headquarters","b_nato","nato.int","","Political and military HQ of the Alliance; the North Atlantic Council sets strategy and coordinates collective defence."
"natoact","Allied Command Transformation (ACT / SACT)","b_nato","act.nato.int","","NATO's warfare development command — concepts, interoperability, experimentation and its Innovation Continuum (SHINE, Beacon)."
"aco","Allied Command Operations (SHAPE)","b_nato","shape.nato.int","","NATO's operational command; defines operational requirements. MARCOM and the Standing Naval Groups sit under it."
"diana_hq","DIANA Headquarters (London)","diana","diana.nato.int","","The programme's HQ, in the heart of the UK deep-tech ecosystem; runs challenge programmes, commercial guidance and defence-user engagement."
"diana_tallinn","DIANA Regional Hub (Tallinn)","diana","diana.nato.int","","DIANA's European regional hub, opened 2024 — connects the programme to the Baltic and Nordic deep-tech ecosystems."
"diana_halifax","DIANA North American Office (Halifax)","diana","diana.nato.int","","DIANA's North American office, linking the programme to Canadian and US innovation ecosystems."
"diana_accel_net","DIANA Accelerator Network","diana","diana.nato.int","","The ~16 accelerator sites that deliver DIANA's cohort programming — typically existing national accelerators, science parks and university hubs designated as DIANA sites (e.g. Tehnopol in Estonia, VTT in Finland, Palladion at UniBw Munich). Selected companies are placed at a site for their programme."
